
         1406614 function calls (1383283 primitive calls) in 3.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      429    0.016    0.000    0.078    0.000 artist.py:1540(number_of_parameters)
      112    0.016    0.000    0.594    0.005 artist.py:1602(pprint_setters)
      375    0.016    0.000    0.016    0.000 __init__.py:1327(_to_unmasked_float_array)
        1    0.016    0.016    0.016    0.016 legend_handler.py:399(HandlerLineCollection)
      236    0.016    0.000    0.031    0.000 artist.py:180(__init__)
6588/5654    0.016    0.000    0.016    0.000 artist.py:319(stale)
      635    0.016    0.000    0.047    0.000 artist.py:1180(_update_props)
      449    0.016    0.000    0.016    0.000 fromnumeric.py:51(_wrapfunc)
     1244    0.016    0.000    0.031    0.000 transforms.py:1881(__init__)
1915/1804    0.016    0.000    0.016    0.000 transforms.py:167(_invalidate_internal)
     1020    0.016    0.000    0.016    0.000 artist.py:271(convert_xunits)
     1259    0.016    0.000    0.016    0.000 transforms.py:1039(get_points)
        1    0.016    0.016    0.016    0.016 backend_qt.py:641(__init__)
        1    0.016    0.016    0.016    0.016 :0(addToolBar)
     1885    0.016    0.000    0.109    0.000 transforms.py:1335(__add__)
       47    0.016    0.000    0.047    0.001 text.py:132(__init__)
       84    0.016    0.000    0.016    0.000 axis.py:560(formatter)
       35    0.016    0.000    0.016    0.000 lines.py:654(recache)
       99    0.016    0.000    0.266    0.003 _base.py:2371(add_patch)
 1782/792    0.016    0.000    0.078    0.000 transforms.py:2398(_iter_break_from_left_to_right)
1018/1017    0.016    0.000    0.047    0.000 transforms.py:1772(__eq__)
      261    0.016    0.000    0.016    0.000 transforms.py:2417(transform_non_affine)
     1113    0.016    0.000    0.016    0.000 transforms.py:1803(get_affine)
      120    0.016    0.000    0.016    0.000 backend_bases.py:908(set_antialiased)
        4    0.016    0.004    0.016    0.004 linalg.py:469(inv)
  2618/42    0.016    0.000    0.016    0.000 copy.py:128(deepcopy)
       90    0.016    0.000    0.062    0.001 text.py:93(_get_text_metrics_with_cache)
       31    0.016    0.001    0.016    0.001 :0(set_text)
       30    0.016    0.001    0.016    0.001 transforms.py:624(translated)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    3.797    3.797 profile:0(<code object <module> at 0x00000268360073F0, file "hw4_improved.py", line 1>)
        1    0.000    0.000    3.797    3.797 hw4_improved.py:1(<module>)
    387/5    0.000    0.000    2.156    0.431 <frozen importlib._bootstrap>:1167(_find_and_load)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      383    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2621    0.000    0.000    0.000    0.000 :0(acquire_lock)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      769    0.000    0.000    0.000    0.000 :0(allocate_lock)
     2621    0.000    0.000    0.000    0.000 :0(release_lock)
      769    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:100(acquire)
     1942    0.000    0.000    0.000    0.000 :0(__exit__)
    383/5    0.000    0.000    2.156    0.431 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
     1471    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      110    0.000    0.000    0.000    0.000 :0(locals)
      107    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
     1471    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
      107    0.000    0.000    0.000    0.000 :0(is_builtin)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:922(find_spec)
   911/11    0.000    0.000    2.156    0.196 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      357    0.000    0.000    0.000    0.000 :0(find_frozen)
      356    0.000    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  357/356    0.000    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      764    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       90    0.000    0.000    0.000    0.000 :0(getcwd)
     1511    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      686    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
    12662    0.000    0.000    0.000    0.000 :0(endswith)
    12879    0.000    0.000    0.000    0.000 :0(rstrip)
     3341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     3613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      434    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      476    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     1888    0.000    0.000    0.000    0.000 :0(fspath)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      387    0.000    0.000    0.000    0.000 :0(_path_splitroot)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
    368/6    0.000    0.000    2.141    0.357 <frozen importlib._bootstrap>:666(_load_unlocked)
  368/364    0.000    0.000    0.062    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      769    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
      655    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1292    0.000    0.000    0.000    0.000 :0(max)
     1854    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1324    0.000    0.000    0.000    0.000 :0(rfind)
    309/6    0.000    0.000    2.141    0.357 <frozen importlib._bootstrap_external>:934(exec_module)
      309    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      309    0.000    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      927    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      928    0.000    0.000    0.000    0.000 :0(from_bytes)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      309    0.000    0.000    0.000    0.000 :0(loads)
      309    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       40    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       41    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       41    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      375    0.000    0.000    0.000    0.000 :0(extend)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       41    0.000    0.000    0.000    0.000 :0(listdir)
      732    0.000    0.000    0.000    0.000 :0(partition)
     3162    0.000    0.000    0.000    0.000 :0(add)
     3302    0.000    0.000    0.000    0.000 :0(lower)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      440    0.000    0.000    0.000    0.000 :0(globals)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:47(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:60(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:80(__new__)
3670/3192    0.000    0.000    0.000    0.000 :0(__new__)
       37    0.000    0.000    0.000    0.000 enum.py:470(__prepare__)
      124    0.000    0.000    0.000    0.000 enum.py:932(_check_for_existing_members_)
       37    0.000    0.000    0.000    0.000 enum.py:346(__init__)
       87    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
       87    0.000    0.000    0.000    0.000 enum.py:978(_find_data_type_)
      600    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
      664    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 _globals.py:93(_CopyMode)
      715    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       45    0.000    0.000    0.000    0.000 enum.py:485(__new__)
     2339    0.000    0.000    0.000    0.000 :0(setdefault)
     9442    0.000    0.000    0.000    0.000 :0(items)
       37    0.000    0.000    0.000    0.000 enum.py:1006(_find_new_)
       73    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
      478    0.000    0.000    0.000    0.000 enum.py:234(__init__)
       37    0.000    0.000    0.000    0.000 enum.py:964(_find_data_repr_)
       39    0.000    0.000    0.000    0.000 :0(bit_length)
      478    0.000    0.000    0.000    0.000 enum.py:237(__set_name__)
     1265    0.000    0.000    0.000    0.000 :0(delattr)
      626    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
      540    0.000    0.000    0.000    0.000 enum.py:1144(__init__)
     2163    0.000    0.000    0.000    0.000 :0(issubclass)
      642    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
2245/2079    0.000    0.000    0.000    0.000 :0(update)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      769    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
      231    0.000    0.000    0.016    0.000 <frozen ntpath>:154(splitdrive)
      114    0.000    0.000    0.016    0.000 <frozen ntpath>:107(join)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      386    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   494/82    0.000    0.000    1.938    0.024 <frozen importlib._bootstrap>:1209(_handle_fromlist)
   452/22    0.000    0.000    2.047    0.093 :0(__import__)
        1    0.000    0.000    0.016    0.016 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.016    0.016 __init__.py:32(__enter__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
    37/36    0.000    0.000    0.062    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
    37/32    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:797(is_package)
