         1226147 function calls (1204291 primitive calls) in 10.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  122/111    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.016    0.016 figure.py:1617(gca)
      585    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.016    0.016 figure.py:632(add_subplot)
        1    0.000    0.000    0.016    0.016 _base.py:574(__init__)
       30    0.004    0.000    0.016    0.001 __init__.py:831(_rc_params_in_file)
      661    0.000    0.000    0.015    0.000 inspect.py:3277(signature)
      661    0.000    0.000    0.015    0.000 inspect.py:3023(from_callable)
      195    0.000    0.000    0.015    0.000 _parser.py:970(parse)
      213    0.009    0.000    0.015    0.000 artist.py:1457(<listcomp>)
  728/661    0.002    0.000    0.015    0.000 inspect.py:2426(_signature_from_callable)
  402/195    0.001    0.000    0.014    0.000 _parser.py:447(_parse_sub)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
  429/196    0.006    0.000    0.014    0.000 _parser.py:507(_parse)
      319    0.000    0.000    0.013    0.000 patches.py:262(get_transform)
        6    0.000    0.000    0.013    0.002 axis.py:1595(get_major_ticks)
        1    0.000    0.000    0.013    0.013 art3d.py:1(<module>)
      427    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
       18    0.000    0.000    0.013    0.001 axis.py:1544(_get_tick)
      105    0.000    0.000    0.012    0.000 patches.py:582(draw)
     9273    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
      313    0.001    0.000    0.012    0.000 patches.py:742(get_patch_transform)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
        2    0.000    0.000    0.011    0.005 core.py:235(read_style_directory)
        1    0.000    0.000    0.011    0.011 offsetbox.py:1(<module>)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
      641    0.003    0.000    0.011    0.000 inspect.py:2331(_signature_from_function)
     6351    0.006    0.000    0.010    0.000 inspect.py:2683(__init__)
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
       18    0.000    0.000    0.009    0.001 axis.py:58(__init__)
3488/2923    0.002    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      972    0.001    0.000    0.009    0.000 __init__.py:695(__setitem__)
        1    0.000    0.000    0.009    0.009 Image.py:1(<module>)
    77827    0.006    0.000    0.009    0.000 {built-in method builtins.isinstance}
    45/35    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    45/35    0.001    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
    72440    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _base.py:1388(clear)
        1    0.000    0.000    0.008    0.008 _base.py:1262(__clear)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      195    0.000    0.000    0.008    0.000 _compiler.py:571(_code)
       47    0.000    0.000    0.008    0.000 __init__.py:225(compile)
       12    0.000    0.000    0.008    0.001 axis.py:855(clear)
        6    0.000    0.000    0.007    0.001 __init__.py:108(import_module)
        6    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1194(_gcd_import)
      101    0.000    0.000    0.007    0.000 patches.py:689(__init__)
      429    0.000    0.000    0.007    0.000 artist.py:1540(number_of_parameters)
    87129    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
      105    0.000    0.000    0.007    0.000 patches.py:48(__init__)
     1334    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      100    0.001    0.000    0.007    0.000 artist.py:170(<listcomp>)
       92    0.000    0.000    0.007    0.000 __init__.py:1368(_preprocess_data)
        1    0.000    0.000    0.007    0.007 _base.py:818(_init_axis)
     1346    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      611    0.001    0.000    0.007    0.000 artist.py:1180(_update_props)
      929    0.000    0.000    0.007    0.000 artist.py:1546(is_alias)
        1    0.006    0.006    0.006    0.006 {built-in method set_icon}
141615/140521    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        9    0.000    0.000    0.006    0.001 axis.py:416(__init__)
        2    0.000    0.000    0.006    0.003 pyplot.py:359(_warn_if_gui_out_of_main_thread)
        9    0.000    0.000    0.006    0.001 axis.py:477(__init__)
        5    0.000    0.000    0.006    0.001 pyplot.py:198(_get_backend_mod)
      2/1    0.000    0.000    0.006    0.006 pyplot.py:212(switch_backend)
      568    0.000    0.000    0.006    0.000 artist.py:1216(_internal_update)
       97    0.000    0.000    0.006    0.000 <frozen abc>:105(__new__)
       99    0.000    0.000    0.006    0.000 transforms.py:1395(contains_branch_seperately)
       99    0.000    0.000    0.006    0.000 transforms.py:1376(contains_branch)
     1873    0.001    0.000    0.006    0.000 transforms.py:1335(__add__)
        3    0.000    0.000    0.006    0.002 _common.py:1(<module>)
      105    0.001    0.000    0.006    0.000 patches.py:533(_draw_paths_with_artist_properties)
        2    0.000    0.000    0.006    0.003 version.py:1(<module>)
       14    0.000    0.000    0.006    0.000 axis.py:765(_set_scale)
      113    0.000    0.000    0.006    0.000 artist.py:778(set_clip_path)
 1387/595    0.001    0.000    0.006    0.000 transforms.py:2391(__eq__)
       14    0.000    0.000    0.006    0.000 scale.py:103(set_default_locators_and_formatters)
     4050    0.003    0.000    0.006    0.000 artist.py:1559(aliased_name)
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
  966/195    0.003    0.000    0.005    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
        1    0.000    0.000    0.005    0.005 backend_bases.py:2813(__init__)
    51911    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      111    0.000    0.000    0.005    0.000 transforms.py:1413(__sub__)
       29    0.000    0.000    0.005    0.000 text.py:918(get_window_extent)
       39    0.001    0.000    0.005    0.000 text.py:363(_get_layout)
        4    0.000    0.000    0.005    0.001 axis.py:1300(_get_ticklabel_bboxes)
        1    0.000    0.000    0.005    0.005 backend_macosx.py:1(<module>)
        4    0.000    0.000    0.005    0.001 axis.py:1304(<listcomp>)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
        2    0.000    0.000    0.005    0.003 axis.py:643(__init__)
        1    0.005    0.005    0.005    0.005 backend_macosx.py:107(__init__)
      916    0.004    0.000    0.005    0.000 inspect.py:2969(__init__)
     1873    0.001    0.000    0.005    0.000 transforms.py:2503(composite_transform_factory)
       97    0.005    0.000    0.005    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.005    0.005 abc.py:1(<module>)
     1304    0.001    0.000    0.005    0.000 colors.py:265(to_rgba)
       14    0.000    0.000    0.005    0.000 ticker.py:427(__init__)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 axis.py:2233(__init__)
15246/15233    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
1016/1015    0.001    0.000    0.005    0.000 transforms.py:1772(__eq__)
      126    0.000    0.000    0.005    0.000 markers.py:228(__init__)
       14    0.000    0.000    0.005    0.000 ticker.py:533(set_useMathText)
       13    0.000    0.000    0.005    0.000 axis.py:293(draw)
       41    0.000    0.000    0.005    0.000 font_manager.py:1200(findfont)
    73432    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
      313    0.000    0.000    0.005    0.000 patches.py:876(get_bbox)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
3494/3084    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1039cbd60}
      126    0.000    0.000    0.004    0.000 markers.py:327(_set_marker)
      100    0.000    0.000    0.004    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
       12    0.000    0.000    0.004    0.000 axis.py:1565(_copy_tick_props)
       54    0.001    0.000    0.004    0.000 lines.py:272(__init__)
      269    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      215    0.000    0.000    0.004    0.000 artist.py:147(<lambda>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        3    0.000    0.000    0.004    0.001 patches.py:2184(__init_subclass__)
      6/4    0.000    0.000    0.004    0.001 axis.py:583(__get__)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.004    0.004 backend_macosx.py:172(show)
      215    0.000    0.000    0.004    0.000 artist.py:1227(set)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
      594    0.001    0.000    0.004    0.000 path.py:419(iter_bezier)
  757/353    0.001    0.000    0.004    0.000 transforms.py:2436(get_affine)
       29    0.000    0.000    0.004    0.000 enum.py:485(__new__)
 1782/792    0.001    0.000    0.004    0.000 transforms.py:2398(_iter_break_from_left_to_right)
        1    0.001    0.001    0.004    0.004 font_manager.py:1360(_findfont_cached)
       36    0.000    0.000    0.004    0.000 lines.py:1335(update_from)
        1    0.004    0.004    0.004    0.004 {method '_show' of '_macosx.FigureManager' objects}
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
       47    0.000    0.000    0.004    0.000 __init__.py:1324(_add_data_doc)
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
      396    0.000    0.000    0.004    0.000 transforms.py:1705(__eq__)
        1    0.000    0.000    0.004    0.004 common.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2230(<listcomp>)
       18    0.000    0.000    0.004    0.000 rcsetup.py:721(validate_cycler)
      396    0.000    0.000    0.004    0.000 transforms.py:2162(__eq__)
     1471    0.001    0.000    0.004    0.000 transforms.py:2347(__init__)
        8    0.000    0.000    0.004    0.000 axis.py:918(set_tick_params)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
       32    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.004    0.004 backend_macosx.py:160(_close_button_pressed)
      314    0.000    0.000    0.004    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
     7693    0.002    0.000    0.004    0.000 enum.py:688(__call__)
      105    0.000    0.000    0.004    0.000 backend_agg.py:109(draw_path)
      318    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
       78    0.000    0.000    0.004    0.000 text.py:93(_get_text_metrics_with_cache)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
       32    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     8318    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
  2244/36    0.002    0.000    0.003    0.000 copy.py:128(deepcopy)
      105    0.001    0.000    0.003    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5614    0.002    0.000    0.003    0.000 __init__.py:725(__getitem__)
6230/5336    0.002    0.000    0.003    0.000 artist.py:319(stale)
      252    0.000    0.000    0.003    0.000 transforms.py:1467(transform)
   144/36    0.000    0.000    0.003    0.000 copy.py:227(_deepcopy_dict)
        2    0.000    0.000    0.003    0.002 _base.py:3155(grid)
        4    0.000    0.000    0.003    0.001 axis.py:1621(grid)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
     3052    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
     1028    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(all)
       33    0.000    0.000    0.003    0.000 text.py:738(draw)
      415    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       43    0.000    0.000    0.003    0.000 text.py:132(__init__)
      448    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      559    0.000    0.000    0.003    0.000 colors.py:218(is_color_like)
1888/1836    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     1987    0.003    0.000    0.003    0.000 transforms.py:194(set_children)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:33(_gen_cmap_registry)
     1022    0.001    0.000    0.003    0.000 copy.py:66(copy)
      788    0.001    0.000    0.003    0.000 copy.py:259(_reconstruct)
        2    0.000    0.000    0.003    0.001 axis.py:2079(_get_tick_boxes_siblings)
      414    0.000    0.000    0.003    0.000 patches.py:734(_convert_units)
        2    0.000    0.000    0.003    0.001 shape_base.py:1(<module>)
      252    0.000    0.000    0.003    0.000 transforms.py:2413(transform_affine)
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
      410    0.002    0.000    0.003    0.000 enum.py:237(__set_name__)
       11    0.000    0.000    0.003    0.000 core.py:1076(parse_string)
     4163    0.001    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
      538    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       67    0.000    0.000    0.003    0.000 text.py:185(_reset_visual_defaults)
        5    0.000    0.000    0.003    0.001 _version.py:1(<module>)
      749    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      495    0.001    0.000    0.003    0.000 bezier.py:200(__call__)
       14    0.000    0.000    0.003    0.000 text.py:101(_get_text_metrics_with_cache_impl)
       46    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
       14    0.000    0.000    0.003    0.000 backend_agg.py:221(get_text_width_height_descent)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
     1276    0.001    0.000    0.003    0.000 fromnumeric.py:69(_wrapreduction)
      368    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.002    0.002 _pylab_helpers.py:44(destroy)
     2139    0.001    0.000    0.002    0.000 __init__.py:163(match)
     1863    0.001    0.000    0.002    0.000 colors.py:213(_is_nth_color)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 axis.py:2294(_update_label_position)
        1    0.000    0.000    0.002    0.002 __init__.py:210(_check_versions)
        1    0.000    0.000    0.002    0.002 axis.py:2555(_update_label_position)
      495    0.002    0.000    0.002    0.000 bezier.py:191(__init__)
      113    0.000    0.000    0.002    0.000 transforms.py:1109(get_points)
     1028    0.000    0.000    0.002    0.000 fromnumeric.py:2432(all)
        1    0.002    0.002    0.002    0.002 {method 'destroy' of '_macosx.FigureManager' objects}
      358    0.000    0.000    0.002    0.000 transforms.py:809(from_extents)
     6806    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
       99    0.000    0.000    0.002    0.000 transforms.py:250(__array__)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
      195    0.001    0.000    0.002    0.000 _compiler.py:509(_compile_info)
     6686    0.002    0.000    0.002    0.000 _parser.py:162(__getitem__)
  194/181    0.000    0.000    0.002    0.000 typing.py:345(inner)
       12    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       27    0.000    0.000    0.002    0.000 backend_agg.py:263(_prepare_font)
     1356    0.000    0.000    0.002    0.000 artist.py:417(pchanged)
        9    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
  696/683    0.000    0.000    0.002    0.000 contextlib.py:132(__enter__)
      215    0.000    0.000    0.002    0.000 patches.py:343(_set_facecolor)
    12209    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.002    0.002 mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
     4654    0.001    0.000    0.002    0.000 _parser.py:252(get)
        2    0.000    0.000    0.002    0.001 axis.py:1082(set_clip_path)
     4163    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
   273/11    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
     2654    0.001    0.000    0.002    0.000 __init__.py:411(_strip_comment)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
    33512    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      583    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.002    0.002 font_manager.py:1530(_load_fontmanager)
      284    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
    63/11    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
        1    0.002    0.002    0.002    0.002 backend_macosx.py:38(__init__)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hw4_vectorized.py:32(<listcomp>)
      496    0.001    0.000    0.002    0.000 enum.py:353(__setitem__)
        1    0.000    0.000    0.002    0.002 font_manager.py:964(json_load)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
      100    0.000    0.000    0.002    0.000 hw4_vectorized.py:13(approximationOfPi)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       32    0.000    0.000    0.002    0.000 colors.py:1027(from_list)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
     5928    0.001    0.000    0.002    0.000 __init__.py:674(_get)
       12    0.000    0.000    0.002    0.000 ticker.py:2134(__call__)
      317    0.000    0.000    0.002    0.000 function_base.py:483(add_newdoc)
       99    0.000    0.000    0.002    0.000 _base.py:2485(update_datalim)
      314    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
     1364    0.001    0.000    0.002    0.000 __init__.py:291(process)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
 1148/381    0.001    0.000    0.002    0.000 _parser.py:172(getwidth)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
     1008    0.000    0.000    0.002    0.000 axis.py:1721(convert_units)
     3052    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.002    0.001 spines.py:142(get_window_extent)
        1    0.000    0.000    0.002    0.002 rrule.py:1(<module>)
       12    0.000    0.000    0.002    0.000 ticker.py:2138(tick_values)
      103    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
       28    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
 1791/273    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
     1175    0.001    0.000    0.002    0.000 transforms.py:1881(__init__)
     55/8    0.000    0.000    0.002    0.000 core.py:3635(leave_whitespace)
       39    0.000    0.000    0.002    0.000 lines.py:729(draw)
 1791/273    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       18    0.000    0.000    0.002    0.000 rcsetup.py:629(cycler)
       12    0.000    0.000    0.002    0.000 ticker.py:2074(_raw_ticks)
     1002    0.000    0.000    0.001    0.000 artist.py:271(convert_xunits)
      105    0.000    0.000    0.001    0.000 patches.py:434(set_fill)
      344    0.000    0.000    0.001    0.000 inspect.py:786(_finddoc)
     1584    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      618    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
        2    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        2    0.000    0.000    0.001    0.001 decoder.py:332(decode)
     1008    0.000    0.000    0.001    0.000 units.py:56(_is_natively_supported)
   114/57    0.000    0.000    0.001    0.000 core.py:3722(copy)
        2    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
    19305    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       27    0.000    0.000    0.001    0.000 deprecation.py:289(wrapper)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
       27    0.000    0.000    0.001    0.000 font_manager.py:1490(get_font)
