The input is n = 1000
Your square root of 1000 is 31.622776601685473
The numpy square root of 1000 is 31.622776601683793
The error precision is  1.680433570072637e-12
All tests past.
Congratulation on achieving your first assignment.
         108332 function calls (106025 primitive calls) in 0.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      483    0.000    0.000    0.000    0.000 :0(fspath)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      159    0.000    0.000    0.000    0.000 :0(_path_splitroot)
      615    0.000    0.000    0.000    0.000 :0(replace)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     4218    0.000    0.000    0.000    0.000 :0(getattr)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      268    0.000    0.000    0.000    0.000 :0(max)
      756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      504    0.000    0.000    0.000    0.000 :0(rfind)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      126    0.000    0.000    0.000    0.000 :0(open_code)
      127    0.000    0.000    0.000    0.000 :0(read)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      379    0.000    0.000    0.000    0.000 :0(from_bytes)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      126    0.000    0.000    0.000    0.000 :0(loads)
      126    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
      106    0.000    0.000    0.000    0.000 :0(extend)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
       14    0.000    0.000    0.000    0.000 :0(listdir)
      264    0.000    0.000    0.000    0.000 :0(partition)
      522    0.000    0.000    0.000    0.000 :0(lower)
      552    0.000    0.000    0.000    0.000 :0(format)
      570    0.000    0.000    0.000    0.000 :0(add)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      398    0.000    0.000    0.000    0.000 :0(globals)
  308/304    0.000    0.000    0.000    0.000 :0(__build_class__)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:47(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:60(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:80(__new__)
      702    0.000    0.000    0.000    0.000 :0(__new__)
        9    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        9    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      148    0.000    0.000    0.000    0.000 :0(issubclass)
        9    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       24    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       24    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       95    0.000    0.000    0.000    0.000 enum.py:89(__setitem__)
       95    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       95    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
     1798    0.000    0.000    0.000    0.000 :0(setattr)
        1    0.000    0.000    0.000    0.000 _globals.py:97(_CopyMode)
       95    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       69    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       86    0.000    0.000    0.000    0.000 :0(setdefault)
      260    0.000    0.000    0.000    0.000 :0(pop)
        9    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        9    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        9    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
      125    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        9    0.000    0.000    0.000    0.000 :0(mro)
      167    0.000    0.000    0.000    0.000 :0(items)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      470    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ntpath.py:221(dirname)
        4    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        4    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
       62    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       16    0.000    0.000    0.000    0.000 ntpath.py:77(join)
        2    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        2    0.000    0.000    0.000    0.000 :0(S_ISDIR)
        1    0.000    0.000    0.000    0.000 os.py:1106(add_dll_directory)
        1    0.000    0.000    0.000    0.000 :0(_add_dll_directory)
        1    0.000    0.000    0.000    0.000 os.py:1090(__init__)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 posixpath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      329    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      359    0.000    0.000    0.000    0.000 :0(update)
       74    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       37    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      981    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       37    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      309    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      203    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      746    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      527    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       46    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      168    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      349    0.000    0.000    0.000    0.000 :0(ord)
       59    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       59    0.000    0.000    0.000    0.000 :0(fromkeys)
      406    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      421    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       46    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
   238/83    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
     1124    0.000    0.000    0.000    0.000 :0(min)
       37    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       37    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
       37    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
    49/34    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       77    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
