Tue Aug 22 15:35:09 2023    output.dat

         146117 function calls (141924 primitive calls) in 2.381 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2503(composite_transform_factory)
      229    0.001    0.000    0.006    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1467(transform)
      307    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/font_manager.py:631(__hash__)
       51    0.000    0.000    0.015    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1430(__init__)
      155    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
      352    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:259(_reconstruct)
      244    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2046(scale)
     6010    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      134    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1978(rotate)
     6693    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      250    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
   132/33    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:227(_deepcopy_dict)
      128    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
      299    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1827(frozen)
  682/600    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
  148/147    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1772(__eq__)
      490    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(dot)
      182    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2254(get_affine)
      315    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
      509    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4092    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:851(get_animated)
     1572    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1921(get_matrix)
     3165    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x11bd28400}
       88    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:379(bounds)
      600    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:157(invalidate)
       55    0.000    0.000    0.005    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/path.py:498(contains_point)
      314    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1843(transform_affine)
   110/55    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2367(frozen)
      669    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     1390    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:209(<lambda>)
     5166    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       17    0.000    0.000    0.009    0.001 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axis.py:58(__init__)
      196    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2033(translate)
   192/96    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2444(inverted)
       64    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:2190(_g_sig_digits)
       51    0.000    0.000    0.010    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:3126(_mouse_event_to_message)
      221    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      140    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:809(from_extents)
      314    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
      378    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/contextlib.py:104(__init__)
      296    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:283(convert_yunits)
      118    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/markers.py:327(_set_marker)
       55    0.000    0.000    0.013    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1994(inaxes)
  559/314    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2405(<lambda>)
       98    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:876(get_bbox)
      109    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:734(_convert_units)
      109    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:516(_format_maybe_minus_and_locale)
     1651    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       65    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
       29    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:654(recache)
      780    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:417(pchanged)
       55    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:116(_process_radius)
      206    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2597(get_matrix)
      455    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      213    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
       36    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:729(draw)
    102/1    0.000    0.000    0.030    0.030 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      457    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/colors.py:213(_is_nth_color)
      110    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2457(__init__)
       51    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1549(_mouse_handler)
      361    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1335(__add__)
      100    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2581(__init__)
      315    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/colors.py:265(to_rgba)
      439    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/re/__init__.py:163(match)
       55    0.000    0.000    0.012    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:158(contains_point)
       89    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/font_manager.py:588(__init__)
      104    0.000    0.000    0.009    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:262(get_transform)
       12    0.000    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
       31    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/text.py:738(draw)
  124/107    0.000    0.000    0.018    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
  833/785    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       32    0.000    0.000    0.005    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axes/_base.py:3898(format_xdata)
      111    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:247(fix_minus)
      141    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(reshape)
     1668    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:295(axes)
      110    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2492(get_matrix)
       51    0.000    0.000    0.022    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:3148(mouse_move)
      669    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      331    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
       45    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/bezier.py:191(__init__)
       55    0.000    0.000    0.013    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:2009(<listcomp>)
      364    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1864(inverted)
      201    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:1269(set_xdata)
      645    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/lib/function_base.py:346(iterable)
      439    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/re/__init__.py:272(_compile)
  378/366    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/contextlib.py:141(__exit__)
      160    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2432(all)
      378    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/contextlib.py:287(helper)
        6    0.000    0.000    0.017    0.003 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axis.py:1257(_update_ticks)
       12    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      151    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/font_manager.py:807(set_size)
       32    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1821(_topmost_artist)
      134    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2001(rotate_deg)
       45    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/bezier.py:200(__call__)
       55    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:1159(update_from)
      113    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      315    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
       27    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/text.py:918(get_window_extent)
      148    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:880(get_siblings)
      147    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:190(__init__)
       12    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:778(_set_format)
        1    0.000    0.000    0.000    0.000 {method 'set_window_title' of '_macosx.FigureManager' objects}
        9    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axes/_base.py:2384(_update_patch_limits)
      189    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:1290(set_ydata)
       32    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axes/_base.py:3908(format_ydata)
1931/1918    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      286    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       59    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1256(__init__)
      370    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/enum.py:688(__call__)
      100    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:253(x0)
      203    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/markers.py:277(_recache)
       51    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/weakref.py:68(__call__)
      352    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:243(_keep_alive)
      297    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:271(convert_xunits)
  378/366    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/contextlib.py:132(__enter__)
      312    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1777(transform)
       12    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      208    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:1227(set)
    72/68    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/spines.py:332(get_spine_transform)
       59    0.000    0.000    0.023    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1261(_process)
       84    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:730(get_path)
      153    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:1196(_set_markercolor)
      141    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/numpy/core/fromnumeric.py:198(reshape)
       23    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/pathlib.py:56(parse_parts)
      288    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:1216(_internal_update)
      128    0.000    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1504(transform_affine)
       15    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:533(_draw_paths_with_artist_properties)
