Fri May  5 16:38:17 2023    oldoutput.dat

         88164445 function calls (88156347 primitive calls) in 51.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.002    0.000    0.022    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:533(_draw_paths_with_artist_properties)
      200    0.002    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
        1    0.002    0.002   51.922   51.922 C:\Users\clara\PycharmProjects\IntroductoryComputing\hw4.py:52(main)
 1782/792    0.002    0.000    0.009    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2398(_iter_break_from_left_to_right)
      236    0.002    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:180(__init__)
      100    0.002    0.000    0.007    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\_methods.py:163(_mean)
      888    0.002    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\colors.py:265(to_rgba)
      594    0.002    0.000    0.012    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:419(iter_bezier)
      390    0.002    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1978(rotate)
      411    0.002    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
       60    0.002    0.000    0.013    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:272(__init__)
        8    0.002    0.000    0.002    0.000 {built-in method addAction}
    11845    0.002    0.000    0.002    0.000 {built-in method builtins.id}
2055/1944    0.002    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:167(_invalidate_internal)
     1944    0.002    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:157(invalidate)
    210/1    0.001    0.000    0.139    0.139 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
       34    0.001    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\ticker.py:624(format_data_short)
      498    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
     1941    0.001    0.000    0.015    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1335(__add__)
 1404/612    0.001    0.000    0.014    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2391(__eq__)
